index	P(0)	P(1)	P(2)	Pw	u	v	cab	start_uni	end_uni	groups
0	0	0	0	1	0	0	1	1	8	
1	0	-0.1	0	1	0.0208333	0	1	1	8	
2	0.125	0	0	1	0.000325521	0	1	1	8	
3	0.125	-0.1	0	1	0.0211589	0	1	1	8	
4	0.25	0	0	1	0.000651042	0	1	1	8	
5	0.25	-0.1	0	1	0.0214844	0	1	1	8	
6	0.375	0	0	1	0.000976562	0	1	1	8	
7	0.375	-0.1	0	1	0.0218099	0	1	1	8	
8	0.5	0	0	1	0.00130208	0	1	1	8	
9	0.5	-0.1	0	1	0.0221354	0	1	1	8	
10	0.625	0	0	1	0.0016276	0	1	1	8	
11	0.625	-0.1	0	1	0.0224609	0	1	1	8	
12	0.75	0	0	1	0.00195312	0	1	1	8	
13	0.75	-0.1	0	1	0.0227865	0	1	1	8	
14	0.875	0	0	1	0.00227865	0	1	1	8	
15	0.875	-0.1	0	1	0.023112	0	1	1	8	
16	0	0	0.125	1	0	0.015625	1	1	8	
17	0	-0.1	0.125	1	0.0208333	0.015625	1	1	8	
18	0.125	0	0.125	1	0.000325521	0.015625	1	1	8	
19	0.125	-0.1	0.125	1	0.0211589	0.015625	1	1	8	
20	0.25	0	0.125	1	0.000651042	0.015625	1	1	8	
21	0.25	-0.1	0.125	1	0.0214844	0.015625	1	1	8	
22	0.375	0	0.125	1	0.000976562	0.015625	1	1	8	
23	0.375	-0.1	0.125	1	0.0218099	0.015625	1	1	8	
24	0.5	0	0.125	1	0.00130208	0.015625	1	1	8	
25	0.5	-0.1	0.125	1	0.0221354	0.015625	1	1	8	
26	0.625	0	0.125	1	0.0016276	0.015625	1	1	8	
27	0.625	-0.1	0.125	1	0.0224609	0.015625	1	1	8	
28	0.75	0	0.125	1	0.00195312	0.015625	1	1	8	
29	0.75	-0.1	0.125	1	0.0227865	0.015625	1	1	8	
30	0.875	0	0.125	1	0.00227865	0.015625	1	1	8	
31	0.875	-0.1	0.125	1	0.023112	0.015625	1	1	8	
32	0	0	0.25	1	0	0.03125	1	1	8	
33	0	-0.1	0.25	1	0.0208333	0.03125	1	1	8	
34	0.125	0	0.25	1	0.000325521	0.03125	1	1	8	
35	0.125	-0.1	0.25	1	0.0211589	0.03125	1	1	8	
36	0.25	0	0.25	1	0.000651042	0.03125	1	1	8	
37	0.25	-0.1	0.25	1	0.0214844	0.03125	1	1	8	
38	0.375	0	0.25	1	0.000976562	0.03125	1	1	8	
39	0.375	-0.1	0.25	1	0.0218099	0.03125	1	1	8	
40	0.5	0	0.25	1	0.00130208	0.03125	1	1	8	
41	0.5	-0.1	0.25	1	0.0221354	0.03125	1	1	8	
42	0.625	0	0.25	1	0.0016276	0.03125	1	1	8	
43	0.625	-0.1	0.25	1	0.0224609	0.03125	1	1	8	
44	0.75	0	0.25	1	0.00195312	0.03125	1	1	8	
45	0.75	-0.1	0.25	1	0.0227865	0.03125	1	1	8	
46	0.875	0	0.25	1	0.00227865	0.03125	1	1	8	
47	0.875	-0.1	0.25	1	0.023112	0.03125	1	1	8	
48	0	0	0.375	1	0	0.046875	1	1	8	
49	0	-0.1	0.375	1	0.0208333	0.046875	1	1	8	
50	0.125	0	0.375	1	0.000325521	0.046875	1	1	8	
51	0.125	-0.1	0.375	1	0.0211589	0.046875	1	1	8	
52	0.25	0	0.375	1	0.000651042	0.046875	1	1	8	
53	0.25	-0.1	0.375	1	0.0214844	0.046875	1	1	8	
54	0.375	0	0.375	1	0.000976562	0.046875	1	1	8	
55	0.375	-0.1	0.375	1	0.0218099	0.046875	1	1	8	
56	0.375	-0.2	0.375	1	0.0426432	0.046875	1	1	8	
57	0.5	0	0.375	1	0.00130208	0.046875	1	1	8	
58	0.5	-0.1	0.375	1	0.0221354	0.046875	1	1	8	
59	0.5	-0.2	0.375	1	0.0429688	0.046875	1	1	8	
